GiaoKhoa, GK001, Toan 10, TL01, TG01, NXB01, 15/8/2023, Toan,10
GiaoKhoa, GK002, Ly 10, TL02, TG02, NXB02, 16/8/2023, Ly,10
GiaoKhoa, GK003, Hoa 10, TL03, TG03, NXB03, 17/8/2023, Hoa,10
GiaoKhoa, GK004, Van 10, TL04, TG04, NXB04, 18/8/2023, Van,10
GiaoKhoa, GK005, Su 10, TL05, TG05, NXB05, 19/8/2023, Su,10
GiaoKhoa, GK006, Dia 10, TL06, TG06, NXB06, 20/8/2023, Dia,10
GiaoKhoa, GK007, Anh 10, TL07, TG07, NXB07, 21/8/2023, Anh,10
GiaoKhoa, GK008, Tin 10, TL08, TG08, NXB08, 22/8/2023, Tin,10
GiaoKhoa, GK009, GDCD 10, TL09, TG09, NXB09, 23/8/2023, GDCD,10
GiaoKhoa, GK010, The Duc 10, TL10, TG10, NXB10, 24/8/2023, TheDuc,10
GiaoKhoa, GK011, Toan 11, TL01, TG01, NXB01, 15/8/2024, Toan,11
GiaoKhoa, GK012, Ly 11, TL02, TG02, NXB02, 16/8/2024, Ly,11
GiaoKhoa, GK013, Hoa 11, TL03, TG03, NXB03, 17/8/2024, Hoa,11
GiaoKhoa, GK014, Van 11, TL04, TG04, NXB04, 18/8/2024, Van,11
GiaoKhoa, GK015, Su 11, TL05, TG05, NXB05, 19/8/2024, Su,11
ThamKhao, TK001, Lich su VN, TL01, TG01, NXB01, 20/5/2022, XH,HS
ThamKhao, TK002, Dia ly VN, TL02, TG02, NXB02, 21/5/2022, XH,SV
ThamKhao, TK003, Van hoc VN, TL03, TG03, NXB03, 22/5/2022, XH,HS
ThamKhao, TK004, Toan nang cao, TL04, TG04, NXB04, 23/5/2022, TN,HS
ThamKhao, TK005, Ly nang cao, TL05, TG05, NXB05, 24/5/2022, TN,HS
ThamKhao, TK006, Hoa nang cao, TL06, TG06, NXB06, 25/5/2022, TN,HS
ThamKhao, TK007, Sinh hoc 12, TL07, TG07, NXB07, 26/5/2022, TN,SV
ThamKhao, TK008, GDCD 12, TL08, TG08, NXB08, 27/5/2022, XH,HS
ThamKhao, TK009, Van hoc nuoc ngoai, TL09, TG09, NXB09, 28/5/2022, XH,HS
ThamKhao, TK010, Khoa hoc tu nhien, TL10, TG10, NXB10, 29/5/2022, TN,GV
GiaoKhoa, GK016, Toan 12, TL01, TG01, NXB01, 1/9/2023, Toan,12
GiaoKhoa, GK017, Ly 12, TL02, TG02, NXB02, 2/9/2023, Ly,12
GiaoKhoa, GK018, Hoa 12, TL03, TG03, NXB03, 3/9/2023, Hoa,12
GiaoKhoa, GK019, Van 12, TL04, TG04, NXB04, 4/9/2023, Van,12
GiaoKhoa, GK020, Su 12, TL05, TG05, NXB05, 5/9/2023, Su,12
GiaoKhoa, GK021, Dia 12, TL06, TG06, NXB06, 6/9/2023, Dia,12
GiaoKhoa, GK022, Anh 12, TL07, TG07, NXB07, 7/9/2023, Anh,12
GiaoKhoa, GK023, Tin 12, TL08, TG08, NXB08, 8/9/2023, Tin,12
GiaoKhoa, GK024, GDCD 12, TL09, TG09, NXB09, 9/9/2023, GDCD,12
GiaoKhoa, GK025, The Duc 12, TL10, TG10, NXB10, 10/9/2023, TheDuc,12
ThamKhao, TK011, Lich su VN 11, TL01, TG01, NXB01, 1/6/2022, XH,HS
ThamKhao, TK012, Dia ly VN 11, TL02, TG02, NXB02, 2/6/2022, XH,SV
ThamKhao, TK013, Van hoc VN 11, TL03, TG03, NXB03, 3/6/2022, XH,HS
ThamKhao, TK014, Toan nang cao 11, TL04, TG04, NXB04, 4/6/2022, TN,HS
ThamKhao, TK015, Ly nang cao 11, TL05, TG05, NXB05, 5/6/2022, TN,HS
ThamKhao, TK016, Hoa nang cao 11, TL06, TG06, NXB06, 6/6/2022, TN,HS
ThamKhao, TK017, Sinh hoc 12 11, TL07, TG07, NXB07, 7/6/2022, TN,SV
ThamKhao, TK018, GDCD 12 11, TL08, TG08, NXB08, 8/6/2022, XH,HS
ThamKhao, TK019, Van hoc nuoc ngoai 11, TL09, TG09, NXB09, 9/6/2022, XH,HS
ThamKhao, TK020, Khoa hoc tu nhien 11, TL10, TG10, NXB10, 10/6/2022, TN,GV
GiaoKhoa, GK026, Toan 13, TL01, TG01, NXB01, 11/9/2023, Toan,13
GiaoKhoa, GK027, Ly 13, TL02, TG02, NXB02, 12/9/2023, Ly,13
GiaoKhoa, GK028, Hoa 13, TL03, TG03, NXB03, 13/9/2023, Hoa,13
ThamKhao, TK021, Khoa hoc moi, TL10, TG10, NXB10, 11/6/2022, TN,GV
ThamKhao, TK022, Van hoc moi, TL03, TG03, NXB03, 12/6/2022, XH,HS
GiaoKhoa, gk, dfg, TL04, TG05, NXB05, 23/2/2, FGH,GF
