001, DG01, NV01, 15/10/2025, 30/10/2025, 30/10/2025
002, DG02, NV02, 15/10/2025, 30/10/2025, 
003, DG03, NV01, 16/10/2025, 31/10/2025, 31/10/2025
004, DG04, NV03, 17/10/2025, 01/11/2025, 01/11/2025
005, DG05, NV02, 18/10/2025, 02/11/2025, 
006, DG06, NV03, 18/10/2025, 02/11/2025, 02/11/2025
007, DG07, NV01, 19/10/2025, 03/11/2025, 03/11/2025
008, DG08, NV02, 19/10/2025, 03/11/2025, 
009, DG09, NV03, 20/10/2025, 04/11/2025, 04/11/2025
010, DG10, NV01, 20/10/2025, 04/11/2025, 
011, DG11, NV02, 21/10/2025, 05/11/2025, 05/11/2025
012, DG12, NV03, 21/10/2025, 05/11/2025, 05/11/2025
013, DG13, NV01, 22/10/2025, 06/11/2025, 
014, DG14, NV02, 22/10/2025, 06/11/2025, 06/11/2025
015, DG15, NV03, 23/10/2025, 07/11/2025, 
016, DG16, NV01, 23/10/2025, 07/11/2025, 07/11/2025
017, DG17, NV02, 24/10/2025, 08/11/2025, 08/11/2025
018, DG18, NV03, 24/10/2025, 08/11/2025, 
019, DG19, NV01, 25/10/2025, 09/11/2025, 
020, DG20, NV02, 25/10/2025, 09/11/2025, 09/11/2025
021, DG21, NV03, 26/10/2025, 10/11/2025, 10/11/2025
022, DG22, NV01, 26/10/2025, 10/11/2025, 
023, DG23, NV02, 27/10/2025, 11/11/2025, 11/11/2025
024, DG24, NV03, 27/10/2025, 11/11/2025, 
025, DG25, NV01, 28/10/2025, 12/11/2025, 12/11/2025
026, DG26, NV02, 28/10/2025, 12/11/2025, 
027, DG27, NV03, 29/10/2025, 13/11/2025, 13/11/2025
028, DG28, NV01, 29/10/2025, 13/11/2025, 
029, DG29, NV02, 30/10/2025, 14/11/2025, 14/11/2025
030, DG30, NV03, 30/10/2025, 14/11/2025, 14/11/2025
031, DG31, NV01, 01/11/2025, 15/11/2025, 
032, DG32, NV02, 01/11/2025, 15/11/2025, 15/11/2025
033, DG33, NV03, 02/11/2025, 16/11/2025, 
034, DG34, NV01, 02/11/2025, 16/11/2025, 16/11/2025
035, DG35, NV02, 03/11/2025, 17/11/2025, 17/11/2025
036, DG36, NV03, 03/11/2025, 17/11/2025, 
037, DG37, NV01, 04/11/2025, 18/11/2025, 
038, DG38, NV02, 04/11/2025, 18/11/2025, 18/11/2025
039, DG39, NV03, 05/11/2025, 19/11/2025, 
040, DG40, NV01, 05/11/2025, 19/11/2025, 19/11/2025
041, DG41, NV02, 06/11/2025, 20/11/2025, 
042, DG42, NV03, 06/11/2025, 20/11/2025, 20/11/2025
043, DG43, NV01, 07/11/2025, 21/11/2025, 
044, DG44, NV02, 07/11/2025, 21/11/2025, 21/11/2025
045, DG45, NV03, 08/11/2025, 22/11/2025, 22/11/2025
046, DG46, NV01, 08/11/2025, 22/11/2025, 
047, DG47, NV02, 09/11/2025, 23/11/2025, 
048, DG48, NV03, 09/11/2025, 23/11/2025, 23/11/2025
049, DG49, NV01, 10/11/2025, 24/11/2025, 
050, DG50, NV03, 10/11/2025, 26/11/2025, 26/11/2025
