ThamKhao, TK001, Lich su VN, TL01, TG01, NXB01, 10, 20/5/2022, XH, HS
ThamKhao, TK002, Dia ly VN, TL02, TG02, NXB02, 10, 21/5/2022, XH, HS
ThamKhao, TK003, GDCD 10, TL03, TG03, NXB03, 10, 22/5/2022, XH, HS
ThamKhao, TK004, Khoa hoc 10, TL04, TG04, NXB04, 10, 23/5/2022, TN, SV
ThamKhao, TK005, Lich su TG, TL05, TG05, NXB05, 10, 24/5/2022, XH, SV
ThamKhao, TK006, Dia ly TG, TL06, TG06, NXB06, 10, 25/5/2022, XH, SV
ThamKhao, TK007, GDCD 11, TL07, TG07, NXB07, 10, 26/5/2022, XH, GV
ThamKhao, TK008, Khoa hoc 11, TL08, TG08, NXB08, 10, 27/5/2022, TN, SV
ThamKhao, TK009, Lich su VN 12, TL09, TG09, NXB09, 10, 28/5/2022, XH, GV
ThamKhao, TK010, Dia ly VN 12, TL10, TG10, NXB10, 10, 29/5/2022, XH, HS
ThamKhao, TK011, GDCD 12, TL11, TG11, NXB11, 10, 30/5/2022, XH, GV
ThamKhao, TK012, Khoa hoc 12, TL12, TG12, NXB12, 10, 31/5/2022, TN, SV
ThamKhao, TK013, Lich su TG, TL13, TG13, NXB13, 10, 1/6/2022, XH, HS
ThamKhao, TK014, Dia ly TG, TL14, TG14, NXB14, 10, 2/6/2022, XH, SV
ThamKhao, TK015, GDCD 10, TL15, TG15, NXB15, 10, 3/6/2022, XH, GV
ThamKhao, TK016, Khoa hoc 10, TL16, TG16, NXB16, 10, 4/6/2022, TN, HS
ThamKhao, TK017, Lich su VN 11, TL17, TG17, NXB17, 10, 5/6/2022, XH, SV
ThamKhao, TK018, Dia ly VN 11, TL18, TG18, NXB18, 10, 6/6/2022, XH, HS
ThamKhao, TK019, GDCD 11, TL19, TG19, NXB19, 10, 7/6/2022, XH, GV
ThamKhao, TK020, Khoa hoc 11, TL20, TG20, NXB20, 10, 8/6/2022, TN, SV
ThamKhao, TK021, Lich su VN 12, TL21, TG21, NXB21, 10, 9/6/2022, XH, GV
ThamKhao, TK022, Dia ly VN 12, TL22, TG22, NXB22, 10, 10/6/2022, XH, HS
ThamKhao, TK023, GDCD 12, TL23, TG23, NXB23, 10, 11/6/2022, XH, GV
ThamKhao, TK024, Khoa hoc 12, TL24, TG24, NXB24, 10, 12/6/2022, TN, SV
ThamKhao, TK025, Lich su TG, TL25, TG25, NXB25, 10, 13/6/2022, XH, HS
GiaoKhoa, GK001, Toan 10, TL01, TG01, NXB01, 10, 15/8/2023, Toan, 10
GiaoKhoa, GK002, Ly 10, TL02, TG02, NXB02, 10, 16/8/2023, Ly, 10
GiaoKhoa, GK003, Hoa 10, TL03, TG03, NXB03, 10, 17/8/2023, Hoa, 10
GiaoKhoa, GK004, Sinh 10, TL04, TG04, NXB04, 10, 18/8/2023, Sinh, 10
GiaoKhoa, GK005, Anh 10, TL05, TG05, NXB05, 10, 19/8/2023, Anh, 10
GiaoKhoa, GK006, Van 10, TL06, TG06, NXB06, 10, 20/8/2023, Van, 10
GiaoKhoa, GK007, Tin 10, TL07, TG07, NXB07, 10, 21/8/2023, Tin, 10
GiaoKhoa, GK008, Su 10, TL08, TG08, NXB08, 10, 22/8/2023, Su, 10
GiaoKhoa, GK009, Toan 11, TL09, TG09, NXB09, 10, 23/8/2023, Toan, 11
GiaoKhoa, GK010, Ly 11, TL10, TG10, NXB10, 10, 24/8/2023, Ly, 11
GiaoKhoa, GK011, Hoa 11, TL11, TG11, NXB11, 10, 25/8/2023, Hoa, 11
GiaoKhoa, GK012, Sinh 11, TL12, TG12, NXB12, 10, 26/8/2023, Sinh, 11
GiaoKhoa, GK013, Anh 11, TL13, TG13, NXB13, 10, 27/8/2023, Anh, 11
GiaoKhoa, GK014, Van 11, TL14, TG14, NXB14, 10, 28/8/2023, Van, 11
GiaoKhoa, GK015, Tin 11, TL15, TG15, NXB15, 10, 29/8/2023, Tin, 11
GiaoKhoa, GK016, Su 11, TL16, TG16, NXB16, 10, 30/8/2023, Su, 11
GiaoKhoa, GK017, Toan 12, TL17, TG17, NXB17, 10, 31/8/2023, Toan, 12
GiaoKhoa, GK018, Ly 12, TL18, TG18, NXB18, 10, 1/9/2023, Ly, 12
GiaoKhoa, GK019, Hoa 12, TL19, TG19, NXB19, 10, 2/9/2023, Hoa, 12
GiaoKhoa, GK020, Sinh 12, TL20, TG20, NXB20, 10, 3/9/2023, Sinh, 12
GiaoKhoa, GK021, Anh 12, TL21, TG21, NXB21, 10, 4/9/2023, Anh, 12
GiaoKhoa, GK022, Van 12, TL22, TG22, NXB22, 10, 5/9/2023, Van, 12
GiaoKhoa, GK023, Tin 12, TL23, TG23, NXB23, 10, 6/9/2023, Tin, 12
GiaoKhoa, GK024, Su 12, TL24, TG24, NXB24, 10, 7/9/2023, Su, 12
GiaoKhoa, GK025, Toan 10, TL25, TG25, NXB25, 10, 8/9/2023, Toan, 10
